1,Toy Story ,"{Adventure, Animation, Children, Comedy, Fantasy}",1995,114709,0.0,
2,Jumanji ,"{Adventure, Children, Fantasy}",1995,113497,0.0,
3,Grumpier Old Men ,"{Comedy, Romance}",1995,113228,0.0,
4,Waiting to Exhale ,"{Comedy, Drama, Romance}",1995,114885,0.0,
5,Father of the Bride Part II ,{Comedy},1995,113041,0.0,
6,Heat ,"{Action, Crime, Thriller}",1995,113277,0.0,
7,Sabrina ,"{Comedy, Romance}",1995,114319,0.0,
8,Tom and Huck ,"{Adventure, Children}",1995,112302,0.0,
9,Sudden Death ,{Action},1995,114576,0.0,
10,GoldenEye ,"{Action, Adventure, Thriller}",1995,113189,0.0,
11,American President ,"{Comedy, Drama, Romance}",1995,112346,0.0,
12,Dracula: Dead and Loving It ,"{Comedy, Horror}",1995,112896,0.0,
13,Balto ,"{Adventure, Animation, Children}",1995,112453,0.0,
14,Nixon ,{Drama},1995,113987,0.0,
15,Cutthroat Island ,"{Action, Adventure, Romance}",1995,112760,0.0,
16,Casino ,"{Crime, Drama}",1995,112641,0.0,
17,Sense and Sensibility ,"{Drama, Romance}",1995,114388,0.0,
18,Four Rooms ,{Comedy},1995,113101,0.0,
19,Ace Ventura: When Nature Calls ,{Comedy},1995,112281,0.0,
20,Money Train ,"{Action, Comedy, Crime, Drama, Thriller}",1995,113845,0.0,
21,Get Shorty ,"{Comedy, Crime, Thriller}",1995,113161,0.0,
22,Copycat ,"{Crime, Drama, Horror, Mystery, Thriller}",1995,112722,0.0,
23,Assassins ,"{Action, Crime, Thriller}",1995,112401,0.0,
24,Powder ,"{Drama, Sci-Fi}",1995,114168,0.0,
25,Leaving Las Vegas ,"{Drama, Romance}",1995,113627,0.0,
26,Othello ,{Drama},1995,114057,0.0,
27,Now and Then ,"{Children, Drama}",1995,114011,0.0,
28,Persuasion ,"{Drama, Romance}",1995,114117,0.0,
29,City of Lost Children (Cité des enfants perdusLa) ,"{Adventure, Drama, Fantasy, Mystery, Sci-Fi}",1995,112682,0.0,
30,Shanghai Triad (Yao a yao yao dao waipo qiao) ,"{Crime, Drama}",1995,115012,0.0,
31,Dangerous Minds ,{Drama},1995,112792,0.0,
32,Twelve Monkeys (a.k.a. 12 Monkeys),"{Mystery, Sci-Fi, Thriller}",1995,114746,0.0,
34,Babe ,"{Children, Drama}",1995,112431,0.0,
35,Carrington ,"{Drama, Romance}",1995,112637,0.0,
36,Dead Man Walking ,"{Crime, Drama}",1995,112818,0.0,
37,Across the Sea of Time ,"{Documentary, IMAX}",1995,112286,0.0,
38,It Takes Two ,"{Children, Comedy}",1995,113442,0.0,
39,Clueless ,"{Comedy, Romance}",1995,112697,0.0,
40,Cry Beloved Country ,{Drama},1995,112749,0.0,
41,Richard III ,"{Drama, War}",1995,114279,0.0,
42,Dead Presidents ,"{Action, Crime, Drama}",1995,112819,0.0,
43,Restoration ,{Drama},1995,114272,0.0,
44,Mortal Kombat ,"{Action, Adventure, Fantasy}",1995,113855,0.0,
45,To Die For ,"{Comedy, Drama, Thriller}",1995,114681,0.0,
46,How to Make an American Quilt ,"{Drama, Romance}",1995,113347,0.0,
